Time,Coin,Quantity,Description
2021-05-07 20:21:00.530431,USD,-2999.00970156,spot_quote
2021-05-07 20:21:00.588983,GRT,1.00000000,transfer 1165031
2021-05-08 04:43:23.485519,USD,1800.00000000,Circle deposit (early credit)
2021-05-08 04:43:40.740802,USD,-1800.00000001,spot_quote
2021-05-08 04:43:40.740802,DOGE,2474.87095096,spot_base
2021-05-08 04:43:40.797207,TRX,1.00000000,transfer 1177613
2021-05-14 14:27:52.444488,USD,0.50000000,Circle deposit fee
2021-05-14 14:27:52.444488,USD,-0.50000000,Circle deposit fee
2021-05-14 14:27:52.444488,USD,-200.00000000,Circle deposit (undo early credit)
2021-05-14 14:27:52.444488,USD,200.00000000,Circle deposit
2021-05-14 14:46:31.944189,USD,1800.00000000,Circle deposit
2021-05-14 14:46:31.944189,USD,-0.50000000,Circle deposit fee
2021-05-14 14:46:31.944189,USD,0.50000000,Circle deposit fee
2021-05-14 14:46:31.944189,USD,-1800.00000000,Circle deposit (undo early credit)
2021-05-14 14:47:10.209305,USD,0.50000000,Circle deposit fee
2021-05-14 14:47:10.209305,USD,-2999.00000000,Circle deposit (undo early credit)
2021-05-14 14:47:10.209305,USD,2999.00000000,Circle deposit
2021-05-14 14:47:10.209305,USD,-0.50000000,Circle deposit fee
2021-08-11 18:00:00,DOGE,0.06832759,FTX App Earn
2021-08-11 18:00:00,USDT,0.00000913,FTX App Earn
2021-08-11 19:00:00,USDT,0.00000913,FTX App Earn
2021-08-11 19:00:00,DOGE,0.06832821,FTX App Earn
2021-08-11 20:00:00,DOGE,0.06832883,FTX App Earn
2021-08-11 20:00:00,USDT,0.00000913,FTX App Earn
2021-08-11 21:00:00,DOGE,0.06832946,FTX App Earn
2021-08-11 21:00:00,USDT,0.00000913,FTX App Earn
2021-08-11 22:00:00,USDT,0.00000913,FTX App Earn
2021-08-11 22:00:00,DOGE,0.06833008,FTX App Earn
2021-08-11 23:00:00,DOGE,0.06833071,FTX App Earn
2021-08-11 23:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 00:00:00,DOGE,0.06833133,FTX App Earn
2021-08-12 00:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 01:00:00,DOGE,0.06833195,FTX App Earn
2021-08-12 01:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 02:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 02:00:00,DOGE,0.06833258,FTX App Earn
2021-08-12 03:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 03:00:00,DOGE,0.06833320,FTX App Earn
2021-08-12 04:00:00,DOGE,0.06833383,FTX App Earn
2021-08-12 04:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 05:00:00,DOGE,0.06833445,FTX App Earn
2021-08-12 05:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 06:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 06:00:00,DOGE,0.06833507,FTX App Earn
2021-08-12 07:00:00,DOGE,0.06833570,FTX App Earn
2021-08-12 07:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 08:00:00,DOGE,0.06833632,FTX App Earn
2021-08-12 08:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 09:00:00,DOGE,0.06833695,FTX App Earn
2021-08-12 09:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 10:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 10:00:00,DOGE,0.06833757,FTX App Earn
2021-08-12 11:00:00,DOGE,0.06833819,FTX App Earn
2021-08-12 11:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 12:00:00,DOGE,0.06833882,FTX App Earn
2021-08-12 12:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 13:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 13:00:00,DOGE,0.06833944,FTX App Earn
2021-08-12 14:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 14:00:00,DOGE,0.06834007,FTX App Earn
2021-08-12 15:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 15:00:00,DOGE,0.06834069,FTX App Earn
2021-08-12 16:00:00,DOGE,0.06834132,FTX App Earn
2021-08-12 16:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 17:00:00,DOGE,0.06834194,FTX App Earn
2021-08-12 17:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 18:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 18:00:00,DOGE,0.06834256,FTX App Earn
2021-08-12 19:00:00,DOGE,0.06834319,FTX App Earn
2021-08-12 19:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 20:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 20:00:00,DOGE,0.06834381,FTX App Earn
2021-08-12 21:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 21:00:00,DOGE,0.06834444,FTX App Earn
2021-08-12 22:00:00,DOGE,0.06834506,FTX App Earn
2021-08-12 22:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 23:00:00,DOGE,0.06834568,FTX App Earn
2021-08-12 23:00:00,USDT,0.00000913,FTX App Earn
2021-08-13 00:00:00,DOGE,0.06834631,FTX App Earn
2021-08-13 00:00:00,USDT,0.00000913,FTX App Earn
2021-08-13 01:00:00,DOGE,0.06834693,FTX App Earn
2021-08-13 01:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 02:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 02:00:00,DOGE,0.06834756,FTX App Earn
2021-08-13 03:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 03:00:00,DOGE,0.06834818,FTX App Earn
2021-08-13 04:00:00,DOGE,0.06834881,FTX App Earn
2021-08-13 04:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 05:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 05:00:00,DOGE,0.06834943,FTX App Earn
2021-08-13 06:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 06:00:00,DOGE,0.06835005,FTX App Earn
2021-08-13 07:00:00,DOGE,0.06835068,FTX App Earn
2021-08-13 07:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 08:00:00,DOGE,0.06835130,FTX App Earn
2021-08-13 08:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 09:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 09:00:00,DOGE,0.06835193,FTX App Earn
2021-08-13 10:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 10:00:00,DOGE,0.06835255,FTX App Earn
2021-08-13 11:00:00,DOGE,0.06835317,FTX App Earn
2021-08-13 11:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 12:00:00,DOGE,0.06835380,FTX App Earn
2021-08-13 12:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 13:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 13:00:00,DOGE,0.06835442,FTX App Earn
2021-08-13 14:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 14:00:00,DOGE,0.06835505,FTX App Earn
2021-08-13 15:00:00,DOGE,0.06835567,FTX App Earn
2021-08-13 15:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 16:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 16:00:00,DOGE,0.06835630,FTX App Earn
2021-08-13 17:00:00,DOGE,0.06835692,FTX App Earn
2021-08-13 17:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 18:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 18:00:00,DOGE,0.06835754,FTX App Earn
2021-08-13 19:00:00,DOGE,0.06835817,FTX App Earn
2021-08-13 19:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 20:00:00,DOGE,0.06835879,FTX App Earn
2021-08-13 20:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 21:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 21:00:00,DOGE,0.06835942,FTX App Earn
2021-08-13 22:00:00,DOGE,0.06836004,FTX App Earn
2021-08-13 22:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 23:00:00,USDT,0.00000914,FTX App Earn
2021-08-13 23:00:00,DOGE,0.06836067,FTX App Earn
2021-08-14 00:00:00,DOGE,0.06836129,FTX App Earn
2021-08-14 00:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 01:00:00,DOGE,0.06836191,FTX App Earn
2021-08-14 01:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 02:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 02:00:00,DOGE,0.06836254,FTX App Earn
2021-08-14 03:00:00,DOGE,0.06836316,FTX App Earn
2021-08-14 03:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 04:00:00,DOGE,0.06836379,FTX App Earn
